dataHoraInicio,dataHoraFim,uriEvento,tipoDiscurso,urlTexto,urlAudio,urlVideo,keywords,sumario,transcricao,id,titulo,dataHoraInicio,dataHoraFim
2019-02-13T17:48,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=14%2F2%2F2019&txPagina=227&txSuplemento=&enviar=Pesquisar,,,"REQUERIMENTO DE DESTAQUE DE VOTAÇÃO EM SEPARADO, DISPOSITIVO LEGAL,  PLV 33/2018, PROJETO DE LEI DE CONVERSÃO ,MPV 852/2018, MEDIDA PROVISORIA.","Pedido à Presidência de reexame da aplicação do art. 10 do Regimento Interno da Câmara dos Deputados, tendo em vista o não recebimento de requerimento de destaque apresentado pelo orador à Medida Provisória nº 852, de 2018.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, eu entendo que V.Exa. sempre preza pelo zelo do Regimento Interno da Casa.
Nós, ainda no Governo passado, nessa medida provisória que trata dos terrenos do INSS e do remanejamento do espólio da RFFSA, que hoje é CBTU, construímos para acomodar esse destaque em que V.Exa. invocou o art. 10.
Argumentamos novamente aqui também com o atual Líder do Governo, que concorda com o destaque. Assim sendo, eu apelo para V.Exa. porque em nada ele trata da empresa CBTU.
Eu acho que o art. 10 poderia até ser aplicado, mas não haveria necessidade de rigor tão absoluto nesse caso, Sr. Presidente, peço a V.Exa. que tenha sensibilidade, uma vez que há acordo inclusive com o Governo anterior e o atual.
O SR. PRESIDENTE (Rodrigo Maia. Bloco/DEM - RJ) - Eu vou fazer o procedimento normal: vou terminar a votação das emendas, V.Exa. apresenta o recurso e, com o apoio da maioria, V.Exa. certamente terá muita chance de ganhar o recurso e restabelecer o texto.
O SR. ARTHUR LIRA (Bloco/PP - AL) - Muito obrigado, Presidente.",160541,Ordem do Dia,,
2019-02-13T17:52,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=14%2F2%2F2019&txPagina=228&txSuplemento=&enviar=Pesquisar,,,"RECURSO (PROPOSIÇÃO LEGISLATIVA), REQUERIMENTO DE DESTAQUE DE VOTAÇÃO EM SEPARADO, DISPOSITIVO LEGAL,  PLV 33/2018, PROJETO DE LEI DE CONVERSÃO, MPV 852/2018, MEDIDA PROVISORIA.","Apresentação de recurso à Presidência contra o não recebimento de requerimento de destaque para votação em separado do art. 10 do Projeto de Lei de Conversão nº 33, de 2018.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, de maneira verbal, eu faço um recurso a V.Exa. para que aceite o destaque. Estamos nos baseando no art. 10 do Regimento Interno.
Eu vou recolher as assinaturas, se for o caso. O Líder do nosso Bloco é o Deputado Elmar.
O SR. PRESIDENTE (Rodrigo Maia. Bloco/DEM - RJ) - Destaque nº 14?
O SR. ARTHUR LIRA (Bloco/PP - AL) - Destaque nº 14, Sr. Presidente.",160541,Ordem do Dia,,
2019-02-13T18:32,,,ENCAMINHAMENTO DE VOTAÇÃO,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=14%2F2%2F2019&txPagina=266&txSuplemento=&enviar=Pesquisar,,,"ENCAMINHAMENTO DE VOTAÇÃO, REQUERIMENTO DE DESTAQUE DE VOTAÇÃO EM SEPARADO, ARTIGO (TEXTO LEGISLATIVO), PLV 33/2018, PROJETO DE LEI DE CONVERSÃO, MPV 852/2018, MEDIDA PROVISÓRIA, FAVORÁVEL.","Encaminhamento da votação de requerimento de destaque para votação em separado do art. 10 do Projeto de Lei de Conversão nº 33, de 2018, com vista à sua inserção no texto da Medida Provisória nº 852, de 2018, em eventual aprovação de destaque de preferência para o texto originário.","O SR. ARTHUR LIRA (Bloco/PP - AL. Sem revisão do orador.) - Na realidade, este destaque é para que seja incluído no texto original um acordo que foi feito com o Governo anterior e também com o atual Governo e que trata da paridade de vencimentos para a aposentadoria de todos os funcionários da extinta RFFSA, da CBTU, da TRENSURB e da VALEC. Isso vai dar em torno de 78 milhões de reais de economia para o Governo Federal e vai garantir aos servidores anteriores a 1991 que trabalham ainda nesses órgãos e que já têm tempo de se aposentar uma paridade com os funcionários da ativa e um igualamento com funcionários dos outros órgãos. Isso teve o apoio do Governo anterior, e foi feito um acordo também com o Governo atual. O recurso também foi aprovado aqui no plenário, por unanimidade.
Eu pediria a todos os Líderes e Deputados no plenário o voto ""sim"", por acordo, ao destaque do art. 10, Sr. Presidente.",160541,Ordem do Dia,,
2019-02-13T18:36,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=14%2F2%2F2019&txPagina=269&txSuplemento=&enviar=Pesquisar,,,"PREVIDÊNCIA SOCIAL, REQUERIMENTO DE DESTAQUE, APROVAÇÃO, FAVORÁVEL.",Pedido aos Parlamentares de aprovação do Requerimento de Destaque n° 14.,"O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Muito obrigado, Presidente. 
Eu queria, Presidente, de maneira bem enfática e tranquila, dizer que eu não acredito que este Plenário vá se deixar influenciar, neste momento em que iniciamos os trabalhos, na primeira semana, por um estudo talvez descuidado. Não pode aqui um Parlamentar abrir os braços e dizer ""imprensa, preste atenção!"" para chamar a atenção da imprensa talvez não por uma inverdade, mas por um equívoco. O que essa emenda preza e reza é economia para o Estado, Deputado Van Hattem - economia!
Hoje, quando pedimos aqui paridade para os funcionários da TRENSURB, que é do seu Estado, da CBTU, que atende ao Brasil, da VALEC, que faz os transportes, e de todas as outras situações, é para funcionários que não têm a paridade, por serem anteriores a 1991.
Eu vou explicar aqui como é isso. Um funcionário recebe, na ativa, 4 mil reais, e o Governo Federal, Deputado Frota, já paga hoje mais 10 mil reais para ele ter a paridade. O Governo Federal paga 14 mil reais! O que este projeto está dizendo é que esse funcionário anterior a 1991 não é mais nenhum jovem. Não há nenhum tipo de maculação da Previdência. Ele somente passará a ter a paridade com um funcionário da ativa. Então, para trocar em miúdos, um funcionário que recebe hoje 14 mil reais vai se aposentar recebendo 10 mil reais. Em curto prazo, só nessas três empresas, haverá economia para o Governo Federal de 78 milhões de reais - 78 milhões de reais!
Esse acordo foi feito e não é um jabuti. Jabuti é quando há safadeza, quando o assunto não é lícito, quando o assunto não é legal. E esse assunto, além de legal, é moral, é digno. Ele vai dar força para que aqueles que não têm oportunidade de se aposentar possam se aposentar com paridade, com igualdade. É isso que este artigo preza.
Então, Sr. Presidente, aqui eu rogo aos Deputados e Deputadas de boa-fé neste plenário que votem a favor desse destaque, porque há um acordo. E eu rogo aqui o testemunho do Líder do Governo, o Deputado Vitor Hugo...
(Desligamento automático do microfone.)
O SR. PRESIDENTE (Marcos Pereira. Bloco/PRB - SP) - Peço que conclua, Deputado, por favor.
O SR. ARTHUR LIRA (Bloco/PP - AL) - Há um acordo com o Governo anterior e com o atual Governo. Eu quero entender e quero crer que os Líderes e os técnicos do Governo anterior e deste Governo sabem o que é economia, sabem o que é o apreço por aqueles funcionários, que vão garantir a paridade para ter uma aposentadoria digna. Trata-se de economia para o Estado, e não de extrapolação de despesa para o Estado. É preciso que tratemos as coisas aqui com absoluta responsabilidade, Sr. Presidente.
Muito obrigado.",160541,Ordem do Dia,,
2019-03-20T21:44,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=21%2F3%2F2019&txPagina=360&txSuplemento=&enviar=Pesquisar,,,"ORIENTAÇÃO DE BANCADA, REQUERIMENTO DE DESTAQUE DE VOTAÇÃO EM SEPARADO, EMP 15/2019, EMENDA DE PLENÁRIO, PL 2724/2015, PROJETO DE LEI ORDINÁRIA, PARTIDO PROGRESSISTA (PP) (2003), VOTO FAVORÁVEL.","Orientação de bancada na votação do requerimento de destaque para votação em separado da Emenda de Plenário nº 15, apresentada ao Projeto de Lei nº 2.724, de 2015, sobre a elevação da participação do capital estrangeiro com direito a voto nas empresas de transporte aéreo.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o bloco do qual o PP faz parte liberou a votação, porque há divergência entre os partidos. É normal que isso aconteça. 
O destaque é do Deputado Luizinho, do nosso partido. E, por tudo que já foi encaminhado neste plenário, nós achamos que seja justo um adicional de até 100% do valor da compra da passagem, no caso de remarcação.
Por isso, o partido encaminha ""sim"" a esse destaque.",160541,Ordem do Dia,,
2019-03-26T19:12,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=27%2F3%2F2019&txPagina=223&txSuplemento=&enviar=Pesquisar,,,"ORIENTAÇÃO DE BANCADA, REQUERIMENTO DE DESTAQUE DE VOTAÇÃO EM SEPARADO, EMENDA DE PLENÁRIO, EMP 20/2019, PL 2724/2015, PROJETO DE LEI ORDINÁRIA, PARTIDO PROGRESSISTA (PP) (2003), VOTO CONTRÁRIO.",Orientação de bancada na votação requerimento de destaque para votação em separado da Emenda nº 20.,"O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, como na votação do requerimento de quebra de interstício, nós orientamos da mesma forma. Eu acho que os tempos são outros, nós vivemos noutra realidade.
Nós somos contra a ostentação, somos contra o porte e a posse de arma em qualquer aeronave que não seja particular, talvez. 
Nós encaminhamos contrariamente, seguindo a mesma orientação da votação anterior.",160541,Ordem do Dia,,
2019-03-27T16:32,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F3%2F2019&txPagina=108&txSuplemento=&enviar=Pesquisar,,,"CONSULTA, PRESIDENTE DA CÃMARA DOS DEPUTADOS, RETIRADA DE PROPOSIÇÃO, PAUTA (PROCESSO LEGISLATIVO), SOLICITAÇÃO, INCLUSÃO, ORDEM DO DIA DO PLENÁRIO, SESSÃO EXTRAORDINÁRIA, PROPOSIÇÃO LEGISLATIVA, PROGRAMA MINHA CASA_ MINHA VIDA (PMCMV).","Consulta à Presidência sobre a possibilidade de retirada de itens constantes na pauta. Pedido de apreciação, em sessão extraordinária, da proposição relativa ao Programa Minha Casa, Minha Vida.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sr. Presidente, havia uma solicitação, por parte de alguns Deputados, para a retirada de dois itens para haver um tempo de maturação. É possível ou não?(Pausa.)
O SR. PRESIDENTE (Rodrigo Maia. Bloco/DEM - RJ) - O que foi, Deputado? Desculpe-me.
O SR. ARTHUR LIRA (Bloco/PP - AL) - Era sobre uma solicitação de alguns Deputados para que houvesse um tempo de maturação do requerimento. 
O SR. PRESIDENTE (Rodrigo Maia. Bloco/DEM - RJ) - Já estou tirando da pauta os requerimentos. Estou ficando só com o projeto do Deputado Luiz Lima; com o projeto da Mesa, que é apenas uma homenagem ao jornalista Jorge Bastos Moreno; com o projeto da Deputada Renata Abreu, que também não tem problema; e, por último, com o projeto dos partidos políticos.
Vamos andar rápido.
O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - O.k. Sr. Presidente, haveria possibilidade, se houver tempo para uma sessão extraordinária, de colocar na pauta aquela questão do Minha Casa, Minha Vida?
O SR. PRESIDENTE (Rodrigo Maia. Bloco/DEM - RJ) - Dando tempo para uma sessão extraordinária, eu incluo a urgência para o projeto do Deputado Elmar Nascimento de ontem.
O SR. ARTHUR LIRA (Bloco/PP - AL) - Muito obrigado.",160541,Ordem do Dia,,
2019-03-27T17:40,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F3%2F2019&txPagina=137&txSuplemento=&enviar=Pesquisar,,,"ORIENTAÇÃO DE BANCADA,  REQUERIMENTO DE RETIRADA DE PROPOSIÇÃO DA ORDEM DO DIA, PL 1321/2019, PROJETO DE LEI ORDINÁRIA, BLOCO PARLAMENTAR, PARTIDO PROGRESSISTA (PP) (2003), VOTO CONTRÁRIO.","Orientação de bancada na votação do requerimento de retirada de pauta do Projeto de Lei nº 1.321, de 2019, sobre a autonomia dos partidos políticos.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sra. Presidente, o Bloco do PP, do PR e de outros partidos - já pedimos à Mesa para corrigir a ordem - orienta ""não"" à retirada de pauta.
Com todo o respeito ao Deputado Ivan Valente, este projeto que nós estamos a discutir hoje visa, mais do que nunca, que nós possamos corrigir as agruras que foram infringidas por resoluções do TSE em cima de lei que nós não votamos na Casa, e não só sobre esse assunto, mas também sobre vários outros assuntos.
Então, o projeto merece ser discutido. O Bloco do PP orienta o que se vote ""não"".",160541,Ordem do Dia,,
2019-03-27T18:08,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F3%2F2019&txPagina=146&txSuplemento=&enviar=Pesquisar,,,"PL 1321/2019, PROJETO DE LEI ORDINÁRIA, AUTONOMIA, PARTIDO POLÍTICO, TRIBUNAL SUPERIOR ELEITORAL (TSE), RESOLUÇÃO, CRÍTICA.",Posicionamento do orador a respeito de tópico do projeto de lei acerca da autonomia dos partidos políticos.,"O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - Sra. Presidente, quero contribuir com o debate e talvez interagir com o Deputado que fez uso da palavra.
Talvez o Plenário precise, com o Relator presente, tirar as dúvidas - a discussão da matéria é feita para isso -, mas quero dizer que eu entendo que, quando falamos em anistia, Deputado, nós estejamos falando dos abusos cometidos, através de resoluções, pelo TSE, em cima de uma legislação que nós não votamos.
Existe uma situação resolução muito esdrúxula nessa legislação, a que determina os diretórios ou comissões provisórias que não receberam dinheiro a prestar contas...
O SR. LUIZ FLÁVIO GOMES (PSB - SP) - Isso, é preciso fazer ressalvas. Perfeito.
O SR. ARTHUR LIRA (Bloco/PP - AL) - Essa prestação de contas, quando o partido não recebe recursos, segundo a resolução, termina com o fechamento da comissão provisória ou do partido. Para reabri-los, tem que se pagar 575 reais, o que, multiplicado pelas 35 mil comissões provisórias ou diretórios que estão fechados no Brasil, dá...",160541,Ordem do Dia,,
2019-03-27T19:04,,,PELA ORDEM,http://imagem.camara.leg.br/dc_20b.asp?largura=&altura=&tipoForm=diarios&selCodColecaoCsv=D&Datain=28%2F3%2F2019&txPagina=163&txSuplemento=&enviar=Pesquisar,,,"PL 1321/2019, PROEJTO DE LEI ORDINÁRIA, EMENDA, REJEIÇÃO, SEGUNDA INSTÂNCIA, PRISÃO, CONSTITUCIONALIDADE, SUPREMO TRIBUNAL FEDERAL (STF), DECISÃO, JUSTIÇA ESPECIALIZADA, ATUAÇÃO, JUSTIÇA ELEITORAL, JUSTIÇA MILITAR, JUSTIÇA DO TRABALHO, ANÁLISE.","Acerto da rejeição, pelo Relator, de emenda oferecida ao Projeto de Lei nº 1.321, de 2019, sobre a autonomia dos partidos políticos.","O SR. ARTHUR LIRA (Bloco/PP - AL. Pela ordem. Sem revisão do orador.) - A decisão do Supremo Tribunal Federal, que foi estabelecida por 6 votos a 5, criou uma discussão que não criou outra decisão proferida também pelo Supremo, e também por 6 votos a 5, com relação à prisão em segunda instância. A decisão é constitucional. Ela não pode ser regulada por projeto de lei.
O Relator rejeitou-a com exatidão. 
Nós encaminhamos esta questão, que foi tratada no texto com clareza quanto à leitura da Constituição no que diz respeito às Justiças Especializadas: Justiça Eleitoral, Justiça Militar, Justiça do Trabalho. Quando qualquer tema esteja referido ou tiver ligação com qualquer um desses assuntos, é a Justiça especializada que faz o encaminhamento dessas matérias. 
É denegrir a imagem de qualquer uma dessas três dizer que ela não tem competência. Isso nada tem a ver com algum espetáculo de estardalhaço desta ou daquela operação.",160541,Ordem do Dia,,
