id,data,siglaOrgao,proposicaoObjeto,descricao,aprovacao
2324492-2,2022-06-01,CEXOBRAS,REQ 3/2022 CEXOBRAS,Aprovado.,1.0
2324491-2,2022-06-01,CEXOBRAS,REQ 2/2022 CEXOBRAS,Aprovado.,1.0
2324490-2,2022-06-01,CEXOBRAS,REQ 1/2022 CEXOBRAS,Aprovado.,1.0
2319256-67,2022-06-02,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Márcio Labre (PL-RJ).",1.0
2319256-65,2022-06-02,PLEN,,Aprovada a Emenda de Redação nº 1.,1.0
2319256-63,2022-06-02,PLEN,,"Aprovado o Projeto de Lei Complementar nº 49, de 2022. Sim: 328; não: 10; total: 338.",1.0
2282842-66,2022-06-02,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Ricardo Izar (Republicanos-SP).",1.0
2282842-63,2022-06-02,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 1.070, de 2021, da Comissão de Meio Ambiente e Desenvolvimento Sustentável.",1.0
2285004-72,2022-06-02,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Fred Costa (Patriota-MG).",1.0
2285004-71,2022-06-02,PLEN,,"Aprovado o Substitutivo do Senado Federal ao Projeto de Lei nº 1.984-A, de 2021.",1.0
2325064-4,2022-06-01,CDHM,,"Em votação nominal, rejeitado o Requerimento de Retirada de Pauta.",0.0
2307260-28,2022-06-02,PLEN,,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 930/2022.,1.0
2307260-27,2022-06-02,SECAP(SGM),,"Realizar o encaminhamento do PRC-79/2021 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2325374-7,2022-06-02,PLEN,REQ 930/2022,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0
2292144-27,2022-06-02,PLEN,,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 715/2022.,1.0
2292144-26,2022-06-02,SECAP(SGM),,"Realizar o encaminhamento do PL-2676/2021 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2322344-9,2022-06-02,PLEN,REQ 715/2022,Aprovado o Requerimento de Urgência (Art. 155 do RICD).,1.0
2292144-23,2022-06-02,SECAP(SGM),,"Realizar o encaminhamento do PL-2676/2021 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0
2309053-129,2022-06-01,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. João Maia (PL-RN).",1.0
2309053-127,2022-06-01,PLEN,,Aprovada a Emenda de Redação n° 1.,1.0
2309053-125,2022-06-01,PLEN,,Mantido o texto. Sim: 240; não: 106; total: 346.,
2309053-112,2022-06-01,PLEN,,Mantido o texto. Sim: 241; não: 109; total: 350 .,
2309053-109,2022-06-01,PLEN,,Rejeitada a Emenda n° 16. Sim: 92; Não: 237; abstenção: 1; total: 330.,0.0
2309053-106,2022-06-01,PLEN,,Mantido o texto. Sim: 204; não: 133; abstenção: 1; total: 338.,
2309053-105,2022-06-01,PLEN,,Mantido o texto. Sim: 206; não: 153; total: 359.,
2309053-98,2022-06-01,PLEN,,Rejeitada a Emenda de Plenário n° 28. Sim: 126; não: 229; total: 355.,0.0
2309053-95,2022-06-01,PLEN,,Mantido o texto. Sim: 235; não: 107; total: 342.,
2309053-94,2022-06-01,PLEN,,"Aprovada a Subemenda Substitutiva Global ao Projeto de Lei nº 4.188, de 2021, adotada pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques. Sim: 260; não: 111; total: 371.",1.0
2309053-90,2022-06-01,PLEN,,Rejeitado o Requerimento. Sim: 105; não: 256; total: 361.,0.0
2309053-77,2022-06-01,PLEN,,Rejeitado o Requerimento. Sim: 115; não: 254; total: 369.,0.0
2309053-68,2022-06-01,PLEN,,Rejeitado o Requerimento. Sim: 103; não: 243; total: 346.,0.0
2314553-38,2022-06-01,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Vinícius Carvalho (Republicanos-SP).",1.0
2314553-36,2022-06-01,PLEN,,Rejeitadas as emendas de Comissão.,0.0
2314553-33,2022-06-01,PLEN,,"Aprovada a Medida Provisória nº 1.100, de 2022. Sim: 353; não: 2; total: 355.",1.0
2314553-32,2022-06-01,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2314553-31,2022-06-01,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2314934-47,2022-06-01,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Carreras (PSB-PE).",1.0
2314934-45,2022-06-01,PLEN,,Suprimido o texto. Sim: 117; não: 219; total: 336.,
2314934-40,2022-06-01,PLEN,,"Aprovada a Medida Provisória nº 1.101 de 2022, na forma do Projeto de Lei de Conversão, ressalvado o destaque. Sim: 340; não: 10; total: 350.",1.0
2314934-36,2022-06-01,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e pela inadequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2314934-35,2022-06-01,PLEN,,"Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião favorável quanto ao atendimento dos pressupostos constitucionais de relevância e urgência e à adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.",1.0
2322624-7,2022-06-01,CSSF,REQ 52/2022 CSSF,"Rejeitado o Requerimento de convocação do ministro de Estado da Saúde, em votação nominal. Resultado: Sim - 17; Não - 21; Abstenção - 0. Total - 38. Subscreveram o Requerimento os Deputados Alexandre Padilha, Jandira Feghali, Rejane Dias, Jorge Solla e Vivi Reis.",0.0
2325472-5,2022-06-01,CMO,REQ 3/2022 CMO,APROVADO na 3ª  Reunião Extraordinária em 1.6.2022.,1.0
2216654-39,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2307312-23,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2325210-2,2022-06-01,CDHM,REQ 50/2022 CDHM,"Aprovado. Subscrito pelos deputados pelos deputados Alexandre Frota, Érika Kokay, Joênia Wapichana, Padre João, Bira do Pindaré e Helder Salomão.",1.0
2325071-2,2022-06-01,CDHM,REQ 48/2022 CDHM,"Aprovado. Subscrito pelos deputados  Alexandre Frota, Érika Kokay, Frei Anastácio, Helder Salomão, Joênia Wapichana, Padre João, Bira do Pindaré e Talíria Petrone.",1.0
2309050-21,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2324483-5,2022-06-01,CMO,REQ 2/2022 CMO,APROVADO na 3ª  Reunião Extraordinária em 1.6.2022.,1.0
2325326-2,2022-06-01,CDHM,REQ 53/2022 CDHM,Aprovado. Subscrito pelos deputados Frei Anastácio e Túlio Gadelha.,1.0
2325319-2,2022-06-01,CDHM,REQ 52/2022 CDHM,Aprovado. Subscrito pelos deputados Érika Kokay e Frei Anastácio.,1.0
2325318-2,2022-06-01,CDHM,REQ 51/2022 CDHM,"Aprovado. Subscrito pelos deputados Érika Kokay, Talíria Petrone e Frei Anastácio.",1.0
2325121-2,2022-06-01,CDHM,REQ 49/2022 CDHM,Aprovado. Subscrito pelos deputados Frei Anastácio e Érika Kokay.,1.0
2325064-3,2022-06-01,CDHM,,"Subscrito pelos deputados Érika kokay, Frei Anastácio, Helder Salomão, Joenia Wapichana, Padre João, Bira do Pindaré e Talíria Petrone.",1.0
2325063-2,2022-06-01,CDHM,REQ 46/2022 CDHM,"Aprovado. Subscrito pelos deputados Érika Kokay, Frei Anastácio, Helder Salomão, Joenia Wapichana, Padre João, Bira do Pindaré e Talíria Petrone.",1.0
2325062-2,2022-06-01,CDHM,REQ 45/2022 CDHM,Aprovado. Subscrito pelo deputado Frei Anastácio.,1.0
2325045-2,2022-06-01,CDHM,REQ 44/2022 CDHM,Aprovado. Subscrito pelos Deputados Frei Anastácio e Helder Salomão.,1.0
2324664-2,2022-06-01,CDHM,REQ 43/2022 CDHM,Aprovado.,1.0
2281212-21,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2200087-27,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2076119-28,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
598006-41,2022-06-01,CCULT,,Aprovado o Parecer.,1.0
2325254-2,2022-06-01,CCULT,REQ 22/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2325243-2,2022-06-01,CCULT,REQ 21/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2325232-2,2022-06-01,CCULT,REQ 20/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2323836-2,2022-06-01,CCULT,REQ 19/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2323769-2,2022-06-01,CCULT,REQ 18/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2323598-2,2022-06-01,CCULT,REQ 17/2022 CCULT,Aprovado. A Dep. Lídice da Mata subscreveu o requerimento.,1.0
2320806-2,2022-06-01,CCULT,REQ 5/2022 CCULT,Aprovado.,1.0
2294359-29,2022-06-01,CMULHER,,Aprovado o Parecer.,1.0
2287383-31,2022-06-01,CMULHER,,Aprovado o Parecer.,1.0
2325064-2,2022-06-01,CDHM,,"Submetido à votação nominal, o requerimento foi aprovado.",1.0
2237085-30,2022-06-01,CMULHER,,Aprovado o Parecer.,1.0
2271963-43,2022-06-01,CIDOSO,,Aprovado o Parecer do Relator Deputado Zacharias Calil (União-GO).,1.0
2325079-4,2022-06-01,CMULHER,REQ 13/2022 CMULHER,Aprovado.,1.0
2324835-3,2022-06-01,CMULHER,REQ 12/2022 CMULHER,Aprovado.,1.0
2325057-4,2022-06-01,CTUR,REQ 16/2022 CTUR,Aprovado. Subscrito pelos deputados André Abdon e Bibo Nunes.,1.0
2324642-2,2022-06-01,CTUR,REQ 15/2022 CTUR,Aprovado.,1.0
2324641-2,2022-06-01,CTUR,REQ 14/2022 CTUR,Aprovado.,1.0
2324489-5,2022-06-01,CTUR,REQ 13/2022 CTUR,Aprovado.,1.0
2325363-2,2022-06-01,GTADVPUB,REQ 14/2022 GTADVPUB,Aprovado.,1.0
2324253-2,2022-06-01,GTADVPUB,REQ 13/2022 GTADVPUB,Aprovado.,1.0
2324252-2,2022-06-01,GTADVPUB,REQ 12/2022 GTADVPUB,Aprovado.,1.0
2320246-2,2022-06-01,GTADVPUB,REQ 11/2022 GTADVPUB,Aprovado.,1.0
2319633-2,2022-06-01,GTADVPUB,REQ 10/2022 GTADVPUB,Aprovado.,1.0
2325265-4,2022-06-01,CIDOSO,REQ 25/2022 CIDOSO,"Aprovado, com a subscrição dos Deputados Delegado Antonio Furtado  (União-RJ) e Miguel Lombardi (PL-SP).",1.0
2319631-2,2022-06-01,GTADVPUB,REQ 8/2022 GTADVPUB,Aprovado.,1.0
2318899-2,2022-06-01,GTADVPUB,REQ 6/2022 GTADVPUB,Aprovado.,1.0
2318620-2,2022-06-01,GTADVPUB,REQ 5/2022 GTADVPUB,Aprovado.,1.0
2319632-2,2022-06-01,GTADVPUB,REQ 9/2022 GTADVPUB,Aprovado com alteração para inclusão de representante da ANAPE.,1.0
2318900-2,2022-06-01,GTADVPUB,REQ 7/2022 GTADVPUB,Aprovado.,1.0
